item_id,store_id,category,season,price,discount,days_on_rack,sold_quantity,sold_flag
Item_55,Store_4,Saree,Wedding,7183,0.44,54,0,0
Item_56,Store_18,Sherwani,Winter,4957,0.1,28,2,0
Item_57,Store_12,Lehenga,Summer,4407,0.05,51,3,0
Item_58,Store_2,Kurta,Wedding,1639,0.45,22,4,0
Item_59,Store_10,Lehenga,Festive,1172,0.17,88,2,0
Item_60,Store_4,Kurta,Festive,6666,0.28,32,6,1
Item_61,Store_14,Saree,Festive,5354,0.18,81,5,1
Item_62,Store_16,Saree,Wedding,4959,0.06,9,1,0
Item_63,Store_15,Kurta,Winter,9708,0.29,34,8,1
Item_64,Store_8,Kurta,Wedding,9714,0.26,5,6,1
Item_65,Store_14,Kurta,Wedding,3886,0.1,90,1,0
Item_66,Store_8,Saree,Summer,3164,0.23,86,9,1
Item_67,Store_16,Sherwani,Wedding,4945,0.4,50,3,0
Item_68,Store_13,Lehenga,Festive,6235,0.3,73,9,1
Item_69,Store_18,Lehenga,Winter,8746,0.05,35,4,0
Item_70,Store_15,Saree,Winter,3590,0.27,74,3,0
Item_71,Store_13,Lehenga,Winter,8754,0.35,95,7,1
Item_72,Store_9,Kurta,Festive,5934,0.4,60,5,1
Item_73,Store_15,Sherwani,Festive,5076,0.31,93,6,1
Item_74,Store_13,Lehenga,Festive,6185,0.08,97,3,0
Item_75,Store_1,Sherwani,Festive,2093,0.36,32,7,1
Item_76,Store_7,Kurta,Festive,4880,0.34,20,5,1
Item_77,Store_9,Lehenga,Wedding,7559,0.01,58,8,1
Item_78,Store_1,Saree,Festive,3785,0.21,57,7,1
Item_79,Store_12,Sherwani,Festive,7065,0.17,16,3,0
Item_80,Store_8,Kurta,Festive,7539,0.33,24,5,1
Item_81,Store_11,Sherwani,Festive,2574,0.11,86,9,1
Item_82,Store_19,Lehenga,Winter,6676,0.3,38,5,1
Item_83,Store_17,Lehenga,Festive,9060,0.46,57,6,1
Item_84,Store_8,Saree,Wedding,4990,0.4,68,4,0
Item_85,Store_3,Kurta,Wedding,6210,0.46,27,6,1
Item_86,Store_3,Kurta,Wedding,5845,0.49,113,6,1
Item_87,Store_1,Saree,Summer,2189,0.01,31,5,1
Item_88,Store_5,Saree,Winter,3689,0.31,117,6,1
Item_89,Store_10,Kurta,Festive,5095,0.21,21,4,0
Item_90,Store_7,Sherwani,Summer,2875,0.43,52,4,0
Item_91,Store_9,Sherwani,Festive,8768,0.13,25,7,1
Item_92,Store_7,Saree,Summer,4406,0.49,54,7,1
Item_93,Store_9,Sherwani,Summer,4932,0.31,44,5,1
Item_94,Store_8,Kurta,Wedding,9240,0.4,99,3,0
Item_95,Store_12,Lehenga,Wedding,6408,0.04,7,3,0
Item_96,Store_2,Lehenga,Summer,4861,0.09,21,3,0
Item_97,Store_1,Sherwani,Wedding,8406,0.38,65,2,0
Item_98,Store_16,Saree,Summer,3833,0.01,54,6,1
Item_99,Store_5,Saree,Winter,6285,0.41,94,3,0
Item_100,Store_3,Saree,Wedding,8645,0.01,91,3,0
Item_101,Store_12,Saree,Wedding,5777,0.33,10,11,1
Item_102,Store_8,Saree,Wedding,3735,0.18,32,4,0
Item_103,Store_3,Sherwani,Winter,9273,0.31,76,10,1
Item_104,Store_1,Lehenga,Summer,9278,0.35,59,8,1
Item_105,Store_3,Lehenga,Festive,7368,0.17,62,3,0
Item_106,Store_5,Sherwani,Wedding,1821,0.05,49,7,1
Item_107,Store_15,Saree,Summer,8525,0.03,76,5,1
Item_108,Store_14,Sherwani,Winter,1162,0.29,23,3,0
Item_109,Store_3,Lehenga,Festive,8777,0.26,106,5,1
Item_110,Store_1,Kurta,Wedding,2932,0.37,33,6,1
Item_111,Store_5,Sherwani,Winter,4535,0.25,27,5,1
Item_112,Store_14,Saree,Winter,6956,0.21,115,5,1
Item_113,Store_7,Lehenga,Festive,4446,0.2,36,2,0
Item_114,Store_9,Lehenga,Summer,3790,0.01,14,6,1
Item_115,Store_15,Lehenga,Wedding,3707,0.17,95,5,1
Item_116,Store_15,Lehenga,Wedding,8959,0.49,53,4,0
Item_117,Store_10,Saree,Summer,4933,0.44,69,7,1
Item_118,Store_13,Kurta,Summer,4385,0.16,107,5,1
Item_119,Store_19,Lehenga,Summer,7636,0.29,33,6,1
Item_120,Store_7,Sherwani,Festive,1922,0.42,63,6,1
Item_121,Store_17,Kurta,Festive,9089,0.22,49,6,1
Item_122,Store_20,Lehenga,Wedding,1564,0.01,71,3,0
Item_123,Store_4,Kurta,Festive,4258,0.04,55,5,1
Item_124,Store_5,Sherwani,Winter,3500,0.26,115,4,0
Item_125,Store_7,Lehenga,Wedding,5566,0.48,105,8,1
Item_126,Store_13,Sherwani,Festive,7881,0.35,99,3,0
Item_127,Store_15,Saree,Summer,4636,0.04,15,2,0
Item_128,Store_11,Lehenga,Winter,7030,0.09,90,1,0
Item_129,Store_4,Lehenga,Summer,1223,0.39,86,7,1
Item_130,Store_13,Lehenga,Wedding,7297,0.42,103,3,0
Item_131,Store_7,Lehenga,Summer,1350,0.31,10,2,0
Item_132,Store_19,Saree,Festive,8314,0.32,71,4,0
Item_133,Store_2,Lehenga,Festive,2928,0.01,66,6,1
Item_134,Store_10,Kurta,Wedding,8743,0.41,9,2,0
Item_135,Store_13,Lehenga,Summer,9540,0.39,13,7,1
Item_136,Store_6,Saree,Wedding,5732,0.13,32,4,0
Item_137,Store_12,Lehenga,Summer,2017,0.35,87,10,1
Item_138,Store_12,Kurta,Winter,3226,0.11,96,8,1
Item_139,Store_20,Saree,Festive,8206,0.02,95,6,1
Item_140,Store_11,Saree,Wedding,8170,0.1,81,7,1
Item_141,Store_7,Kurta,Winter,7207,0.09,42,3,0
Item_142,Store_1,Kurta,Winter,3419,0.17,47,4,0
Item_143,Store_1,Kurta,Wedding,7240,0.21,25,8,1
Item_144,Store_20,Kurta,Wedding,2893,0.25,95,5,1
Item_145,Store_13,Kurta,Winter,6322,0.24,66,4,0
Item_146,Store_9,Saree,Summer,8718,0.14,50,4,0
Item_147,Store_3,Saree,Winter,7878,0.01,74,5,1
Item_148,Store_7,Lehenga,Wedding,2125,0.3,42,5,1
Item_149,Store_6,Lehenga,Winter,4117,0.2,53,4,0
Item_150,Store_8,Sherwani,Summer,5161,0.15,79,3,0
Item_151,Store_9,Lehenga,Festive,5042,0.43,115,6,1
Item_152,Store_5,Lehenga,Festive,5433,0.37,109,8,1
Item_153,Store_1,Kurta,Winter,9638,0.43,85,5,1
Item_154,Store_19,Kurta,Summer,3658,0.25,43,5,1
Item_155,Store_10,Lehenga,Festive,4483,0.07,75,3,0
Item_156,Store_12,Sherwani,Winter,3944,0.35,34,5,1
Item_157,Store_15,Kurta,Winter,8210,0.1,25,5,1
Item_158,Store_9,Lehenga,Summer,8653,0.22,5,10,1
Item_159,Store_20,Lehenga,Wedding,9787,0.03,93,4,0
Item_160,Store_17,Saree,Winter,2986,0.41,36,4,0
Item_161,Store_17,Sherwani,Wedding,2074,0.06,12,9,1
Item_162,Store_20,Saree,Wedding,5305,0.45,73,5,1
Item_163,Store_12,Sherwani,Festive,4007,0.43,34,4,0
Item_164,Store_7,Kurta,Wedding,1969,0.23,119,2,0
Item_165,Store_2,Sherwani,Summer,9772,0.37,12,4,0
Item_166,Store_3,Lehenga,Festive,3824,0.31,117,4,0
Item_167,Store_17,Lehenga,Festive,2211,0.4,23,5,1
Item_168,Store_5,Sherwani,Festive,1229,0.22,112,2,0
Item_169,Store_17,Sherwani,Winter,5284,0.39,63,8,1
Item_170,Store_17,Sherwani,Winter,4185,0.23,59,3,0
Item_171,Store_17,Saree,Wedding,1501,0.47,34,5,1
Item_172,Store_2,Sherwani,Festive,1048,0.24,83,4,0
Item_173,Store_2,Kurta,Festive,4566,0.23,40,5,1
Item_174,Store_5,Saree,Summer,4055,0.39,59,7,1
Item_175,Store_1,Saree,Wedding,9880,0.41,48,6,1
Item_176,Store_1,Sherwani,Summer,1386,0.28,31,7,1
Item_177,Store_19,Kurta,Wedding,1969,0.09,81,3,0
Item_178,Store_2,Saree,Wedding,6820,0.23,82,8,1
Item_179,Store_12,Lehenga,Winter,4052,0.48,105,3,0
Item_180,Store_6,Saree,Winter,8397,0.38,58,6,1
Item_181,Store_4,Sherwani,Summer,3302,0.41,52,6,1
Item_182,Store_11,Kurta,Wedding,3283,0.02,34,6,1
Item_183,Store_17,Sherwani,Festive,5366,0.23,43,3,0
Item_184,Store_6,Lehenga,Winter,1122,0.32,115,1,0
Item_185,Store_5,Lehenga,Festive,7799,0.42,17,6,1
Item_186,Store_20,Lehenga,Summer,4727,0.02,20,5,1
Item_187,Store_2,Sherwani,Winter,9450,0.43,48,2,0
Item_188,Store_6,Saree,Winter,5958,0.27,75,4,0
Item_189,Store_11,Sherwani,Wedding,1524,0.1,116,10,1
Item_190,Store_16,Kurta,Summer,9399,0.16,31,3,0
Item_191,Store_16,Saree,Wedding,1148,0.14,49,11,1
Item_192,Store_1,Lehenga,Winter,9001,0.27,39,2,0
Item_193,Store_9,Sherwani,Summer,1437,0.03,83,3,0
Item_194,Store_6,Lehenga,Winter,4749,0.08,32,3,0
Item_195,Store_16,Lehenga,Summer,9186,0.41,103,2,0
Item_196,Store_3,Kurta,Winter,5453,0.07,11,3,0
Item_197,Store_20,Saree,Festive,6336,0.12,66,6,1
Item_198,Store_4,Kurta,Festive,5551,0.23,118,6,1
Item_199,Store_19,Kurta,Wedding,3823,0.26,114,7,1
Item_200,Store_3,Kurta,Festive,6728,0.38,118,3,0
Item_201,Store_19,Lehenga,Winter,9677,0.22,55,5,1
Item_202,Store_20,Kurta,Winter,9391,0.39,50,2,0
Item_203,Store_7,Kurta,Festive,2982,0.31,24,5,1
Item_204,Store_20,Saree,Wedding,7996,0.06,100,4,0
Item_205,Store_9,Saree,Festive,3311,0.08,42,1,0
Item_206,Store_1,Kurta,Summer,8225,0.22,65,3,0
Item_207,Store_8,Saree,Summer,1604,0.2,108,3,0
Item_208,Store_7,Saree,Summer,9175,0.37,36,8,1
Item_209,Store_18,Kurta,Festive,6785,0.29,30,10,1
Item_210,Store_8,Lehenga,Festive,5597,0.19,62,4,0
Item_211,Store_1,Kurta,Festive,8759,0.09,43,5,1
Item_212,Store_11,Saree,Summer,8532,0.11,24,6,1
Item_213,Store_18,Lehenga,Wedding,9740,0.29,86,3,0
Item_214,Store_10,Sherwani,Winter,1838,0.21,54,11,1
Item_215,Store_3,Lehenga,Festive,4815,0.26,83,5,1
Item_216,Store_7,Saree,Wedding,1847,0.09,56,5,1
Item_217,Store_16,Lehenga,Winter,5709,0.33,90,3,0
Item_218,Store_16,Kurta,Winter,5507,0.43,119,7,1
Item_219,Store_20,Sherwani,Winter,7575,0.13,26,2,0
Item_220,Store_17,Sherwani,Wedding,5773,0.25,57,5,1
Item_221,Store_2,Sherwani,Wedding,5468,0.49,89,4,0
Item_222,Store_1,Saree,Summer,6192,0.17,70,6,1
Item_223,Store_16,Saree,Wedding,4320,0.3,108,4,0
Item_224,Store_12,Sherwani,Wedding,5698,0.05,47,5,1
Item_225,Store_5,Lehenga,Wedding,5311,0.3,86,3,0
Item_226,Store_5,Sherwani,Winter,4673,0.04,27,5,1
Item_227,Store_9,Lehenga,Festive,2564,0.48,81,6,1
Item_228,Store_9,Lehenga,Summer,2840,0.36,68,3,0
Item_229,Store_3,Saree,Festive,7058,0.39,109,7,1
Item_230,Store_19,Lehenga,Festive,8131,0.35,13,4,0
Item_231,Store_16,Sherwani,Wedding,1726,0.29,117,2,0
Item_232,Store_16,Saree,Summer,7697,0.22,11,12,1
Item_233,Store_3,Kurta,Festive,1282,0.43,45,4,0
Item_234,Store_20,Kurta,Festive,2081,0.48,58,2,0
Item_235,Store_1,Saree,Summer,4885,0.25,69,7,1
Item_236,Store_20,Sherwani,Wedding,3881,0.47,6,1,0
Item_237,Store_11,Kurta,Festive,3970,0.29,8,0,0
Item_238,Store_17,Kurta,Winter,7985,0.27,82,3,0
Item_239,Store_8,Lehenga,Festive,1947,0.23,36,10,1
Item_240,Store_4,Lehenga,Winter,5760,0.1,104,2,0
Item_241,Store_6,Sherwani,Wedding,1066,0.0,6,9,1
Item_242,Store_8,Saree,Festive,9828,0.12,108,3,0
Item_243,Store_20,Sherwani,Summer,9505,0.25,118,6,1
Item_244,Store_3,Saree,Summer,1564,0.19,119,5,1
Item_245,Store_16,Kurta,Festive,4670,0.22,68,3,0
Item_246,Store_3,Lehenga,Wedding,3251,0.49,18,8,1
Item_247,Store_18,Sherwani,Wedding,1804,0.18,24,4,0
Item_248,Store_14,Sherwani,Summer,5631,0.23,93,5,1
Item_249,Store_18,Saree,Festive,2235,0.07,110,4,0
Item_250,Store_2,Saree,Wedding,7720,0.02,53,4,0
Item_251,Store_3,Sherwani,Summer,7906,0.39,12,3,0
Item_252,Store_16,Saree,Winter,7016,0.29,96,5,1
Item_253,Store_9,Sherwani,Festive,4549,0.38,67,3,0
Item_254,Store_4,Sherwani,Winter,8938,0.07,50,7,1
Item_255,Store_1,Sherwani,Winter,5141,0.29,25,2,0
Item_256,Store_4,Kurta,Wedding,7966,0.13,91,7,1
Item_257,Store_1,Saree,Wedding,6335,0.11,36,4,0
Item_258,Store_14,Lehenga,Wedding,6077,0.01,12,3,0
Item_259,Store_16,Lehenga,Festive,6611,0.07,99,3,0
Item_260,Store_20,Saree,Winter,9089,0.15,105,8,1
Item_261,Store_8,Sherwani,Festive,3892,0.06,20,10,1
Item_262,Store_7,Lehenga,Wedding,6577,0.49,44,5,1
Item_263,Store_3,Lehenga,Winter,4618,0.15,110,8,1
Item_264,Store_17,Saree,Festive,2559,0.07,31,1,0
Item_265,Store_1,Lehenga,Festive,7683,0.1,108,6,1
Item_266,Store_16,Sherwani,Summer,2507,0.29,109,2,0
Item_267,Store_12,Saree,Festive,3063,0.03,22,4,0
Item_268,Store_19,Sherwani,Wedding,4642,0.43,39,4,0
Item_269,Store_14,Lehenga,Festive,3000,0.48,117,8,1
Item_270,Store_6,Lehenga,Winter,2294,0.12,56,7,1
Item_271,Store_6,Sherwani,Festive,5065,0.23,19,4,0
Item_272,Store_13,Kurta,Summer,9014,0.01,67,7,1
Item_273,Store_19,Lehenga,Winter,2603,0.32,57,5,1
Item_274,Store_8,Kurta,Winter,2322,0.21,95,7,1
Item_275,Store_2,Lehenga,Summer,6956,0.14,85,3,0
Item_276,Store_1,Kurta,Wedding,3441,0.1,108,4,0
Item_277,Store_15,Kurta,Winter,2098,0.33,70,8,1
Item_278,Store_1,Kurta,Wedding,6073,0.21,117,7,1
Item_279,Store_5,Sherwani,Winter,9488,0.09,118,2,0
Item_280,Store_16,Kurta,Winter,4787,0.34,35,2,0
Item_281,Store_19,Kurta,Wedding,3096,0.28,65,6,1
Item_282,Store_4,Kurta,Winter,3208,0.43,68,8,1
Item_283,Store_3,Lehenga,Wedding,6988,0.06,105,4,0
Item_284,Store_17,Kurta,Summer,1175,0.39,109,6,1
Item_285,Store_17,Lehenga,Wedding,8169,0.34,109,8,1
Item_286,Store_12,Kurta,Summer,7014,0.06,102,6,1
Item_287,Store_14,Kurta,Winter,2667,0.35,38,4,0
Item_288,Store_6,Sherwani,Wedding,9867,0.22,119,6,1
Item_289,Store_3,Lehenga,Winter,2823,0.47,59,6,1
Item_290,Store_9,Kurta,Wedding,6147,0.07,63,4,0
Item_291,Store_5,Lehenga,Summer,2356,0.32,7,4,0
Item_292,Store_17,Lehenga,Summer,4072,0.19,21,5,1
Item_293,Store_14,Saree,Wedding,4259,0.48,82,9,1
Item_294,Store_3,Sherwani,Summer,7199,0.16,82,5,1
Item_295,Store_1,Sherwani,Winter,1546,0.48,50,6,1
Item_296,Store_20,Sherwani,Winter,6231,0.45,42,9,1
Item_297,Store_1,Saree,Festive,8965,0.14,39,3,0
Item_298,Store_3,Saree,Summer,3083,0.4,5,10,1
Item_299,Store_18,Sherwani,Winter,3040,0.5,116,7,1
Item_300,Store_10,Saree,Wedding,5534,0.13,33,6,1
Item_301,Store_3,Saree,Summer,2752,0.22,8,5,1
Item_302,Store_8,Saree,Winter,2849,0.26,65,5,1
Item_303,Store_14,Sherwani,Summer,3642,0.15,101,9,1
Item_304,Store_18,Sherwani,Wedding,2600,0.01,21,7,1
Item_305,Store_15,Sherwani,Winter,5402,0.11,32,7,1
Item_306,Store_2,Saree,Festive,4799,0.14,54,5,1
Item_307,Store_10,Sherwani,Festive,1618,0.22,94,2,0
Item_308,Store_2,Saree,Summer,2132,0.09,12,5,1
Item_309,Store_17,Kurta,Wedding,6491,0.44,38,4,0
Item_310,Store_8,Saree,Winter,6795,0.35,63,7,1
Item_311,Store_1,Lehenga,Wedding,8633,0.04,22,3,0
Item_312,Store_9,Sherwani,Winter,2487,0.33,99,3,0
Item_313,Store_11,Sherwani,Summer,8848,0.33,63,6,1
Item_314,Store_16,Lehenga,Winter,6009,0.48,31,3,0
Item_315,Store_7,Saree,Wedding,3113,0.0,20,5,1
Item_316,Store_10,Kurta,Wedding,2044,0.12,14,3,0
Item_317,Store_3,Lehenga,Summer,3431,0.46,108,8,1
Item_318,Store_18,Lehenga,Wedding,8979,0.47,80,3,0
Item_319,Store_13,Saree,Winter,2582,0.36,26,7,1
Item_320,Store_7,Sherwani,Summer,2308,0.38,20,5,1
Item_321,Store_4,Saree,Winter,5917,0.05,16,6,1
Item_322,Store_13,Lehenga,Wedding,9793,0.26,79,4,0
Item_323,Store_20,Lehenga,Summer,2620,0.12,88,6,1
Item_324,Store_1,Sherwani,Winter,8503,0.09,55,7,1
Item_325,Store_8,Sherwani,Wedding,5766,0.41,5,10,1
Item_326,Store_14,Sherwani,Wedding,6362,0.07,31,7,1
Item_327,Store_16,Saree,Festive,6192,0.23,71,6,1
Item_328,Store_14,Sherwani,Wedding,7622,0.47,16,4,0
Item_329,Store_12,Lehenga,Winter,7093,0.09,34,6,1
Item_330,Store_19,Lehenga,Summer,7704,0.49,13,2,0
Item_331,Store_15,Kurta,Festive,1100,0.5,57,2,0
Item_332,Store_2,Saree,Wedding,7657,0.28,65,3,0
Item_333,Store_2,Kurta,Wedding,6875,0.09,58,9,1
Item_334,Store_19,Lehenga,Wedding,5271,0.16,41,4,0
Item_335,Store_17,Kurta,Winter,1237,0.21,69,7,1
Item_336,Store_20,Lehenga,Festive,8226,0.15,46,8,1
Item_337,Store_10,Kurta,Winter,9032,0.14,53,6,1
Item_338,Store_6,Sherwani,Festive,6218,0.49,8,3,0
Item_339,Store_15,Kurta,Summer,5025,0.08,68,6,1
Item_340,Store_11,Sherwani,Winter,7073,0.37,83,3,0
Item_341,Store_5,Sherwani,Winter,3542,0.0,55,7,1
Item_342,Store_1,Saree,Summer,2537,0.3,95,6,1
Item_343,Store_8,Sherwani,Festive,1754,0.46,76,2,0
Item_344,Store_12,Sherwani,Wedding,8396,0.14,64,1,0
Item_345,Store_12,Kurta,Summer,8823,0.09,91,2,0
Item_346,Store_5,Lehenga,Wedding,6507,0.33,83,5,1
Item_347,Store_7,Saree,Wedding,5235,0.36,95,4,0
Item_348,Store_4,Sherwani,Summer,1540,0.34,35,5,1
Item_349,Store_6,Saree,Festive,6510,0.16,107,8,1
Item_350,Store_13,Kurta,Wedding,9461,0.13,115,4,0
Item_351,Store_20,Sherwani,Summer,8926,0.48,76,6,1
Item_352,Store_15,Kurta,Winter,6131,0.46,98,3,0
Item_353,Store_3,Saree,Winter,9697,0.23,62,4,0
Item_354,Store_8,Kurta,Winter,2129,0.42,110,8,1
Item_355,Store_20,Saree,Summer,4145,0.23,86,5,1
Item_356,Store_16,Kurta,Winter,9553,0.21,8,7,1
Item_357,Store_13,Saree,Wedding,4720,0.08,115,2,0
Item_358,Store_18,Lehenga,Winter,5067,0.21,111,5,1
Item_359,Store_10,Kurta,Winter,5195,0.27,26,10,1
Item_360,Store_19,Kurta,Wedding,8281,0.01,7,4,0
Item_361,Store_17,Lehenga,Winter,3509,0.22,83,5,1
Item_362,Store_19,Lehenga,Wedding,6016,0.39,103,3,0
Item_363,Store_5,Kurta,Winter,7533,0.34,51,3,0
Item_364,Store_9,Lehenga,Wedding,5727,0.32,42,8,1
Item_365,Store_12,Sherwani,Winter,1681,0.45,37,3,0
Item_366,Store_1,Saree,Wedding,4932,0.01,82,7,1
Item_367,Store_1,Saree,Summer,6560,0.28,52,8,1
Item_368,Store_15,Saree,Wedding,5016,0.39,69,4,0
Item_369,Store_2,Sherwani,Winter,8339,0.27,117,5,1
Item_370,Store_16,Lehenga,Winter,1719,0.16,30,6,1
Item_371,Store_8,Lehenga,Festive,1074,0.07,12,1,0
Item_372,Store_13,Kurta,Wedding,5157,0.44,54,2,0
Item_373,Store_1,Lehenga,Summer,9511,0.24,84,3,0
Item_374,Store_16,Kurta,Wedding,3149,0.44,42,4,0
Item_375,Store_7,Sherwani,Wedding,7713,0.29,14,4,0
Item_376,Store_5,Saree,Summer,5207,0.34,46,4,0
Item_377,Store_3,Saree,Wedding,8141,0.4,41,3,0
Item_378,Store_12,Saree,Summer,9652,0.33,30,5,1
Item_379,Store_16,Lehenga,Summer,4936,0.2,96,5,1
Item_380,Store_19,Kurta,Wedding,2075,0.26,16,2,0
Item_381,Store_5,Kurta,Wedding,4876,0.4,88,6,1
Item_382,Store_14,Sherwani,Winter,5615,0.19,53,3,0
Item_383,Store_5,Lehenga,Winter,8265,0.19,18,4,0
Item_384,Store_15,Sherwani,Festive,7379,0.05,50,3,0
Item_385,Store_17,Kurta,Festive,5652,0.46,39,6,1
Item_386,Store_14,Kurta,Wedding,7792,0.05,33,4,0
Item_387,Store_20,Saree,Summer,8456,0.32,16,1,0
Item_388,Store_5,Lehenga,Festive,5674,0.21,86,9,1
Item_389,Store_12,Kurta,Wedding,1541,0.2,48,7,1
Item_390,Store_16,Saree,Festive,3161,0.34,70,5,1
Item_391,Store_16,Lehenga,Summer,3251,0.03,6,4,0
Item_392,Store_7,Sherwani,Wedding,5569,0.3,63,2,0
Item_393,Store_4,Lehenga,Summer,3744,0.39,21,4,0
Item_394,Store_1,Lehenga,Wedding,7041,0.41,14,5,1
Item_395,Store_5,Kurta,Festive,5675,0.09,22,4,0
Item_396,Store_10,Kurta,Winter,2560,0.45,26,6,1
Item_397,Store_5,Lehenga,Festive,2164,0.33,87,3,0
Item_398,Store_4,Kurta,Festive,6419,0.44,62,7,1
Item_399,Store_2,Kurta,Winter,3722,0.24,57,5,1
Item_400,Store_20,Kurta,Winter,1470,0.27,5,6,1
Item_401,Store_10,Saree,Wedding,2468,0.46,92,7,1
Item_402,Store_19,Saree,Wedding,8925,0.45,65,2,0
Item_403,Store_1,Lehenga,Summer,1808,0.22,104,6,1
Item_404,Store_5,Kurta,Summer,9363,0.14,93,4,0
Item_405,Store_13,Saree,Festive,7719,0.2,104,6,1
Item_406,Store_4,Lehenga,Winter,6073,0.19,35,3,0
Item_407,Store_16,Kurta,Summer,9012,0.14,35,6,1
Item_408,Store_16,Sherwani,Festive,2645,0.13,70,8,1
Item_409,Store_2,Kurta,Winter,9249,0.43,23,3,0
Item_410,Store_17,Kurta,Wedding,2129,0.03,57,7,1
Item_411,Store_20,Saree,Festive,2353,0.34,80,15,1
Item_412,Store_12,Lehenga,Wedding,1767,0.09,78,7,1
Item_413,Store_18,Lehenga,Summer,4895,0.17,99,6,1
Item_414,Store_3,Saree,Summer,9874,0.03,113,3,0
Item_415,Store_1,Kurta,Winter,4454,0.13,26,2,0
Item_416,Store_1,Sherwani,Festive,8329,0.38,27,5,1
Item_417,Store_19,Kurta,Wedding,2790,0.44,91,6,1
Item_418,Store_11,Kurta,Winter,1885,0.11,19,6,1
Item_419,Store_5,Sherwani,Summer,8734,0.23,30,4,0
Item_420,Store_12,Saree,Summer,4906,0.24,7,1,0
Item_421,Store_3,Lehenga,Festive,5492,0.44,91,6,1
Item_422,Store_1,Saree,Wedding,3073,0.38,24,8,1
Item_423,Store_1,Saree,Festive,1312,0.26,113,2,0
Item_424,Store_8,Kurta,Wedding,7269,0.34,44,2,0
Item_425,Store_10,Lehenga,Wedding,6317,0.42,43,2,0
Item_426,Store_11,Lehenga,Festive,1810,0.0,76,5,1
Item_427,Store_12,Saree,Winter,7841,0.2,22,7,1
